variant,algo,seed,step,return_smooth
tuned,a2c,7,203040,62.569393939393635
tuned,a2c,7,208073,-53.41051515151516
tuned,a2c,7,213106,77.96000000000001
tuned,a2c,7,218139,79.84294949494945
tuned,a2c,7,223172,80.0
tuned,a2c,7,228205,79.28
tuned,a2c,7,233238,80.0
tuned,a2c,7,238271,78.52771717171711
tuned,a2c,7,243304,79.91999999999999
tuned,a2c,7,248337,77.16
tuned,a2c,7,253371,79.78
tuned,a2c,7,258404,75.60999999999993
tuned,a2c,7,263437,78.5
tuned,a2c,7,268470,77.44040404040327
tuned,a2c,7,273503,76.30000000000001
tuned,a2c,7,278536,80.0
tuned,a2c,7,283569,79.82
tuned,a2c,7,288602,79.96000000000001
tuned,a2c,7,293635,79.91999999999999
tuned,a2c,7,298668,79.97999999999999
tuned,a2c,7,303701,80.0
tuned,a2c,7,308734,79.0469696969699
tuned,a2c,7,313767,60.620000000000005
tuned,a2c,7,318800,78.97999999999999
tuned,a2c,7,323833,79.98
tuned,a2c,7,328866,79.53999999999999
tuned,a2c,7,333900,80.0
tuned,a2c,7,338933,79.91999999999999
tuned,a2c,7,343966,80.0
tuned,a2c,7,348999,79.96
tuned,a2c,7,354032,79.97999999999999
tuned,a2c,7,359065,80.0
tuned,a2c,7,364098,79.96
tuned,a2c,7,369131,80.0
tuned,a2c,7,374164,79.98
tuned,a2c,7,379197,80.0
tuned,a2c,7,384230,80.0
tuned,a2c,7,389263,80.0
tuned,a2c,7,394296,80.0
tuned,a2c,7,399329,80.0
tuned,a2c,7,404362,80.0
tuned,a2c,7,409395,80.0
tuned,a2c,7,414428,80.0
tuned,a2c,7,419462,80.0
tuned,a2c,7,424495,80.0
tuned,a2c,7,429528,80.0
tuned,a2c,7,434561,80.0
tuned,a2c,7,439594,80.0
tuned,a2c,7,444627,55.29111111111141
tuned,a2c,7,449660,77.81333333333372
tuned,a2c,7,454693,77.55999999999999
tuned,a2c,7,459726,80.0
tuned,a2c,7,464759,77.67999999999999
tuned,a2c,7,469792,80.0
tuned,a2c,7,474825,80.0
tuned,a2c,7,479858,79.97999999999999
tuned,a2c,7,484891,79.96000000000001
tuned,a2c,7,489924,79.94
tuned,a2c,7,494957,79.96
tuned,a2c,7,499991,80.0
tuned,a2c,314,1907,45.86
tuned,a2c,314,6938,76.14
tuned,a2c,314,11969,75.14961616161617
tuned,a2c,314,17000,72.69267457180501
tuned,a2c,314,22031,77.86
tuned,a2c,314,27063,79.1
tuned,a2c,314,32094,79.25999999999999
tuned,a2c,314,37125,79.85999999999999
tuned,a2c,314,42156,79.52
tuned,a2c,314,47187,79.96000000000001
tuned,a2c,314,52219,79.96
tuned,a2c,314,57250,79.9725925925926
tuned,a2c,314,62281,75.56
tuned,a2c,314,67312,80.0
tuned,a2c,314,72343,79.98
tuned,a2c,314,77375,77.47999999999999
tuned,a2c,314,82406,79.72
tuned,a2c,314,87437,80.0
tuned,a2c,314,92468,80.0
tuned,a2c,314,97499,79.98
tuned,a2c,314,102531,80.0
tuned,a2c,314,107562,79.7758213716108
tuned,a2c,314,112593,80.0
tuned,a2c,314,117624,79.99152861952864
tuned,a2c,314,122655,79.68
tuned,a2c,314,127687,80.0
tuned,a2c,314,132718,79.94867340067339
tuned,a2c,314,137749,80.0
tuned,a2c,314,142780,80.0
tuned,a2c,314,147811,79.97999999999999
tuned,a2c,314,152843,79.97999999999999
tuned,a2c,314,157874,79.94
tuned,a2c,314,162905,79.5
tuned,a2c,314,167936,79.96
tuned,a2c,314,172967,80.0
tuned,a2c,314,177999,80.0
tuned,a2c,314,183030,79.96
tuned,a2c,314,188061,79.98
tuned,a2c,314,193092,80.0
tuned,a2c,314,198123,80.0
tuned,a2c,314,203155,79.97999999999999
tuned,a2c,314,208186,80.0
tuned,a2c,314,213217,80.0
tuned,a2c,314,218248,79.9
tuned,a2c,314,223279,79.84
tuned,a2c,314,228311,80.0
tuned,a2c,314,233342,80.0
tuned,a2c,314,238373,80.0
tuned,a2c,314,243404,75.63999999999999
tuned,a2c,314,248435,78.69999999999999
tuned,a2c,314,253467,80.0
tuned,a2c,314,258498,79.22
tuned,a2c,314,263529,79.9
tuned,a2c,314,268560,80.0
tuned,a2c,314,273591,80.0
tuned,a2c,314,278623,79.6
tuned,a2c,314,283654,80.0
tuned,a2c,314,288685,79.9
tuned,a2c,314,293716,79.29350505050435
tuned,a2c,314,298747,79.97999999999999
tuned,a2c,314,303779,79.84
tuned,a2c,314,308810,79.42
tuned,a2c,314,313841,80.0
tuned,a2c,314,318872,73.10751515151621
tuned,a2c,314,323903,80.0
tuned,a2c,314,328935,79.96
tuned,a2c,314,333966,80.0
tuned,a2c,314,338997,80.0
tuned,a2c,314,344028,75.7
tuned,a2c,314,349059,80.0
tuned,a2c,314,354091,77.8
tuned,a2c,314,359122,80.0
tuned,a2c,314,364153,77.69999999999999
tuned,a2c,314,369184,79.9
tuned,a2c,314,374215,78.72511111111136
tuned,a2c,314,379247,73.58000000000001
tuned,a2c,314,384278,80.0
tuned,a2c,314,389309,80.0
tuned,a2c,314,394340,80.0
tuned,a2c,314,399371,70.80488888888806
tuned,a2c,314,404403,79.24
tuned,a2c,314,409434,80.0
tuned,a2c,314,414465,80.0
tuned,a2c,314,419496,80.0
tuned,a2c,314,424527,80.0
tuned,a2c,314,429559,80.0
tuned,a2c,314,434590,80.0
tuned,a2c,314,439621,80.0
